"Report_ID";"Booking_ID"
"60411";"6570266"
"158605";"11872331"
"158605";"11875859"
"158605";"11896989"
"158605";"11896992"
"158605";"11896993"
"158605";"11920375"
"158605";"11925618"
"158605";"11925621"
"158605";"11925622"
"158605";"11925632"
"158605";"11925938"
"158605";"11925941"
"158605";"11925942"
"158605";"11926028"
"158605";"11926031"
"158605";"11926032"
"158605";"11926764"
"158605";"11930439"
"158605";"11930442"
"158605";"11930443"
"158605";"11933096"
"158605";"11933099"
"158605";"11933100"
"158605";"11946326"
"158605";"11946749"
"158605";"11946752"
"158605";"11946753"
"158605";"11947007"
"158605";"11947008"
"158605";"11951040"
"158605";"11951043"
"158605";"11951044"
"158605";"11954731"
"158605";"11954732"
"158605";"11954733"
"158605";"11959453"
"158605";"11960376"
"158605";"11960956"
"158605";"11961526"
"158605";"11961634"
"158605";"11961635"
"158605";"11961636"
"158605";"11963145"
"158605";"11963148"
"158605";"11963149"
"158605";"11963873"
"158605";"11963876"
"158605";"11963877"
"158605";"11968338"
"158605";"11975680"
"158605";"11975681"
"158605";"11975682"
"158605";"11976313"
"158605";"11976314"
"158605";"11976622"
"158605";"11976625"
"158605";"11976626"
"158605";"11976695"
"158605";"11976698"
"158605";"11976699"
"158605";"11976716"
"158605";"11976719"
"158605";"11976720"
"158605";"11976966"
"158605";"11976969"
"158605";"11976970"
"158605";"11977062"
"158605";"11977065"
"158605";"11977066"
"158605";"11977086"
"158605";"11977089"
"158605";"11977090"
"158605";"11977220"
"158605";"11977221"
"158605";"11977222"
"158605";"11977684"
"158605";"11977687"
"158605";"11977688"
"158605";"11977694"
"158605";"11978396"
"158605";"11978399"
"158605";"11978400"
"158605";"11978810"
"158605";"11978814"
"158605";"11978818"
"158605";"11978820"
"158605";"11978822"
"158605";"11978824"
"158605";"11978826"
"158605";"11978828"
"158605";"11978830"
"158605";"11979892"
"158605";"11979895"
"158605";"11979896"
"158605";"11980511"
"158605";"11980514"
"158605";"11980515"
"158605";"11982024"
"158605";"11982027"
"158605";"11982028"
"158605";"11984224"
"158605";"11984443"
"158605";"11984631"
"158605";"11986131"
"158605";"11986134"
"158605";"11986135"
"158605";"11986316"
"158605";"11986319"
"158605";"11986320"
